Horodateur,Nom du créateur,corCrea,Nom de l'Évaluateur,corEval,Version du projet,"Aspect Technique: Qualité du Code (Lisibilité, structure, respect des standards)","Aspect Technique: Fonctionnalité et Robustesse (Absence de bugs majeurs, gestion des erreurs)","Aspect Design/UX: Interface Utilisateur (Attractivité, cohérence visuelle)","Aspect Design/UX: Expérience Utilisateur (Facilité de navigation, intuitivité)","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise HTML et sémantique]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Maîtrise CSS et Responsive Design]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Complexité et efficacité du JavaScript (front-end)]","Implémentation des technologies clés (HTML/CSS, JavaScript, Frameworks/Librairies) [Utilisation de librairie ou framework (ex: React, Vue, Node.js)]",Innovation et Originalité du Projet,Points forts du projet,Suggestions d'amélioration,Pertinence des améliorations de la nouvelle version,Note Globale Recommandée (sur 20)
16/12/2025 16:52:41,calrifaii,calrifaii,Juniorald,Juniorald,2,4,4,4,4,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,10,,,10,17
16/12/2025 16:52:46,Liline96,Liline96,lizachikhaoui,lizachikhaoui,5,5,5,,,,,,,,,,,15
16/12/2025 16:52:55,calrifaii,calrifaii,callmejeeh,callmejeeh,3,4,2,2,4,Conforme,Conforme,Partiellement Conforme,Conforme,,,,3,
16/12/2025 16:53:00,Kell2107,kell2107,calrifaii,calrifaii,4,5,5,,,,,,,,,,,
16/12/2025 16:53:01,THAUT627,THAUT627,ouarkia,Ouarkia,2,3,3,3,3,Conforme,Conforme,Conforme,Conforme,7,ajout musique,pouvoir stopper la musique,7,12
16/12/2025 16:53:17,thaut627,THAUT627,kada798,kada798,1,3,4,2,4,Conforme,Conforme,Conforme,Conforme,4,/,/,5,13
16/12/2025 16:53:18,sakeenasn,sakeenasn,nali-333,nali-333,4,4,4,4,4,Dépasse les attentes,Conforme,Conforme,Conforme,8,,,7,14
16/12/2025 16:53:22,fatoucmr,fatoucmr,Liline96,Liline96,1,5,5,5,5,Conforme,Conforme,Conforme,Conforme,8,Très propre ,Ajouter un texte pour expliquer le code,,14
16/12/2025 16:53:25,Kell2107,kell2107,calrifaii,calrifaii,5,5,5,,,,,,,,,,,
16/12/2025 16:53:26,Liline96,Liline96, Haithem939 ,Haithem939,6,3,4,3,3,Conforme,Conforme,Partiellement Conforme,,6,,,6,12
16/12/2025 16:53:32,Liline96,Liline96,lizachikhaoui,lizachikhaoui,6,5,5,,,,,,,,,,,"15,5"
16/12/2025 16:53:36,THAUT627,THAUT627,Wafa258,wafa258,2,3,4,3,3,Conforme,Conforme,Conforme,Partiellement Conforme,7,,,6,16
16/12/2025 16:53:39,calrifaii,calrifaii,callmejeeh,callmejeeh,4,4,4,2,4,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,,,,4,
16/12/2025 16:53:49,Kell2107,kell2107,THAUT627,THAUT627,5,4,2,4,2,Conforme,Partiellement Conforme,Dépasse les attentes,Dépasse les attentes,7,,,5,12
16/12/2025 16:53:57,Kell2107,kell2107,calrifaii,calrifaii,6,5,5,,,,,,,,,,,
16/12/2025 16:54:13,sakeenasn,sakeenasn,lcruz-almeida,lcruz-almeida,1,4,4,4,2,Conforme,Conforme,Partiellement Conforme,,7,,,,10
16/12/2025 16:54:14,sakeenasn,sakeenasn,nali-333,nali-333,5,4,4,4,4,Dépasse les attentes,Conforme,Conforme,Conforme,8,,,6,"14,5"
16/12/2025 16:54:15,Liline96,Liline96,Fatoucmr,fatoucmr,6,4,4,4,4,Conforme,Conforme,,Conforme,8,"Dynamisme, interactivité, un visuel plus beau et plus espacé. ","Ajouter un mode sombre ou claire, que la consigne change de couleur et s'adapte à celle de la forme que l'on a cliquer. ",8,15
16/12/2025 16:54:18,THAUT627,THAUT627,ouarkia,Ouarkia,3,3,3,3,3,Conforme,Conforme,Conforme,Conforme,8,+ de mode de jeu,le dernier mode ne marchent pas,,13
16/12/2025 16:54:21,sakeenasn,sakeenasn,sakeenasn,sakeenasn,1,3,4,4,1,Conforme,Conforme,Partiellement Conforme,Conforme,5,,L’interactivité ,,10
16/12/2025 16:54:39,thaut627,THAUT627,kada798,kada798,2,3,4,2,4,Conforme,Conforme,Conforme,Conforme,5,/,/,6,13
16/12/2025 16:54:52,calrifaii,calrifaii,callmejeeh,callmejeeh,5,4,4,2,3,Conforme,Conforme,Partiellement Conforme,Conforme,,,Et la musique ?,2,
16/12/2025 16:54:52,Liline96,Liline96, Haithem939 ,Haithem939,6,3,4,4,4,Conforme,Conforme,Partiellement Conforme,,7,,,7,"13,5"
16/12/2025 16:55:15,THAUT627,THAUT627,ouarkia,Ouarkia,4,3,3,3,3,Conforme,Conforme,Conforme,Conforme,8,on peut couper le son,le dernier mode ne marchent tjrs pas,8,14
16/12/2025 16:55:17,sakeenasn,sakeenasn,lizachikhaoui,lizachikhaoui,1,4,3,4,3,,,,,,,,,13
16/12/2025 16:55:27,calrifaii,calrifaii,callmejeeh,callmejeeh,6,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,,,,1,
16/12/2025 16:55:29,THAUT627,THAUT627,Wafa258,wafa258,3,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,La possibilité de couper le son est une fonctionnalité en plus.,,7,17
16/12/2025 16:55:29,THAUT627,THAUT627,kadiriilham634-del,kadiriilham634-del,1,4,3,,,,,,,,,,,
16/12/2025 16:55:33,Liline96,Liline96,lcruz-almeida,lcruz-almeida,1,4,3,5,4,Conforme,Conforme,Conforme,,8,,,8,12
16/12/2025 16:55:37,sakeenasn,sakeenasn,sakeenasn,sakeenasn,1,4,3,4,3,Conforme,Conforme,Conforme,Conforme,5,,La vitesse des planètes ,6,11
16/12/2025 16:55:52,fatoucmr,fatoucmr,calrifaii,calrifaii,1,4,3,,,,,,,,,,,
16/12/2025 16:56:13,THAUT627,THAUT627,ouarkia,Ouarkia,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,on peut mettre pause et recommencer,le dernier mode de jeu ne fonctionnent pas chez moi,8,15
16/12/2025 16:56:17,Kell2107,kell2107,THAUT627,THAUT627,6,4,3,4,3,Conforme,Partiellement Conforme,Dépasse les attentes,Dépasse les attentes,8,,Si on vous trop la carte de densité disparait,6,13
16/12/2025 16:56:18,thaut627,THAUT627,kada798,kada798,3,4,4,1,4,Conforme,Conforme,Conforme,Conforme,6,/,/,7,14
16/12/2025 16:56:33,Liline96,Liline96,lcruz-almeida,lcruz-almeida,2,4,4,4,4,Conforme,Conforme,Conforme,Conforme,9,,,9,13
16/12/2025 16:56:36,THAUT627,THAUT627,Wafa258,wafa258,4,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,L'ajout du bouton restart. ,,8,18
16/12/2025 16:56:46,sakeenasn,sakeenasn,lizachikhaoui,lizachikhaoui,2,4,4,4,4,Conforme,Conforme,Dépasse les attentes,Partiellement Conforme,7,,,,14
16/12/2025 16:57:09,sakeenasn,sakeenasn,sakeenasn,sakeenasn,2,4,5,4,4,Conforme,Conforme,Conforme,Conforme,6,,Les étoiles quand on réduit le zoom,5,11
16/12/2025 16:57:15,sakeenasn,sakeenasn,Fatoucmr,fatoucmr,1,4,4,4,4,Conforme,Conforme,Conforme,,8,Originalité ,"Ajouter plus de planètes et d'informations sur celles-ci, ajouter plus d'option qui permette à l'utilisateur d'interagir.",,13
16/12/2025 16:57:38,Liline96,Liline96,lcruz-almeida,lcruz-almeida,3,4,4,5,5,Conforme,Conforme,Conforme,,8,les sons,,9,14
16/12/2025 16:57:47,sakeenasn,sakeenasn,lizachikhaoui,lizachikhaoui,3,4,4,4,,,,,,,,,,14
16/12/2025 16:57:50,THAUT627,THAUT627,ouarkia,Ouarkia,6,4,4,5,5,Conforme,Conforme,Conforme,Conforme,9,plus de vies ,les boutons couper le son ne s'affichent pas tjrs,9,16
16/12/2025 16:57:52,sakeenasn,sakeenasn,sakeenasn,sakeenasn,3,4,5,4,5,Conforme,Conforme,Conforme,Conforme,6,Les sons,,6,12
16/12/2025 16:57:56,THAUT627,THAUT627,Wafa258,wafa258,5,4,5,5,4,Conforme,Conforme,Conforme,Conforme,8,Le changement de la musique en changeant de jeu est top,Ajouter un mode plus lumineux ,8,18
16/12/2025 16:57:59,thaut627,THAUT627,kada798,kada798,4,5,5,3,3,Conforme,Conforme,Conforme,Conforme,6,/,/,6,15
16/12/2025 16:58:29,sakeenasn,sakeenasn,lizachikhaoui,lizachikhaoui,4,4,4,,,,,,,,,,,14
16/12/2025 16:59:02,THAUT627,THAUT627,kadiriilham634-del,kadiriilham634-del,2,3,3,,,,,,,,,,,
16/12/2025 16:59:06,Liline96,Liline96,lcruz-almeida,lcruz-almeida,4,4,5,5,5,Conforme,Conforme,Conforme,,8,,,9,15
16/12/2025 16:59:08,sakeenasn,sakeenasn,sakeenasn,sakeenasn,4,4,5,4,4,Conforme,Conforme,Conforme,Conforme,6,Visuel,,6,12
16/12/2025 16:59:16,fatoucmr,fatoucmr,Liline96,Liline96,2,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,"Bonne amélioration, avec le menu, clair ",,10,16
16/12/2025 16:59:21,sakeenasn,sakeenasn,lizachikhaoui,lizachikhaoui,5,5,5,,,,,,,,,,6,"14,5"
16/12/2025 16:59:22,thaut627,THAUT627,kada798,kada798,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,/,/,7,15
16/12/2025 16:59:27,sakeenasn ,sakeenasn, Haithem939 ,Haithem939,1,3,2,3,3,Conforme,Conforme,Partiellement Conforme,,5,,,5,10
16/12/2025 16:59:33,fatoucmr,fatoucmr,THAUT627,THAUT627,1,4,5,4,4,Conforme,Conforme,Conforme,Non Conforme,8,,,7,14
16/12/2025 16:59:38,sakeenasn,sakeenasn,Fatoucmr,fatoucmr,2,4,3,4,4,Conforme,Conforme,Conforme,,8,Informations sur les planètes qui permettent d'améliorer notre culture. Ajout d'interactivité et le dynamisme des planètes qui tournent autour du soleil. ,Ajouter un curseur qui permet de contrôler la vitesse de rotation des planètes. ,7,14
16/12/2025 16:59:40,Liline96,Liline96,lcruz-almeida,lcruz-almeida,5,4,5,5,5,Conforme,Conforme,Conforme,,9,,,9,16
16/12/2025 16:59:46,THAUT627,THAUT627,Wafa258,wafa258,6,4,5,4,5,Dépasse les attentes,Conforme,Dépasse les attentes,Conforme,9,L'ajout d'une nouvelle tour,,9,18
16/12/2025 16:59:51,sakeenasn,sakeenasn,sakeenasn,sakeenasn,5,4,5,4,5,Conforme,Conforme,Conforme,Conforme,7,,,6,13
16/12/2025 17:00:07,THAUT627,THAUT627,kadiriilham634-del,kadiriilham634-del,3,4,3,,,,,,,,,,,
16/12/2025 17:00:10,Liline96,Liline96,lcruz-almeida,lcruz-almeida,6,4,5,5,5,Conforme,Conforme,Conforme,,10,,,10,17
16/12/2025 17:00:17,thaut627,THAUT627,kada798,kada798,6,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,/,/,7,16
16/12/2025 17:00:47,sakeenasn,sakeenasn,sakeenasn,sakeenasn,6,4,5,5,4,Conforme,Conforme,Conforme,Conforme,7,Bouton Danger ,,6,14
16/12/2025 17:00:50,calrifaii,calrifaii,Juniorald,Juniorald,3,5,5,5,5,Dépasse les attentes,Dépasse les attentes,Conforme,Non Conforme,10,,,10,18
16/12/2025 17:00:59,sakeenasn,sakeenasn,Fatoucmr,fatoucmr,3,4,4,4,,Conforme,Conforme,Conforme,,8,Ajout du curseur qui permet de contrôler vitesse et zoom.,Ajout de son pour chacune des planètes. ,8,14
16/12/2025 17:01:01,THAUT627,THAUT627,kadiriilham634-del,kadiriilham634-del,4,4,3,,,,,,,,,,,
16/12/2025 17:01:13,fatoucmr,fatoucmr,Liline96,Liline96,3,5,5,5,5,Conforme,Conforme,Conforme,Conforme,,Globalement très bien ,Ajout d'une difficulté ,9,17
16/12/2025 17:01:18,sakeenasn,sakeenasn,lizachikhaoui,lizachikhaoui,6,5,5,,,,,,,,,,,"14,5"
16/12/2025 17:01:18,sakeenasn ,sakeenasn, Haithem939 ,Haithem939,2,3,3,4,4,Conforme,Conforme,Partiellement Conforme,Partiellement Conforme,6,,,6,11
16/12/2025 17:01:20,Juniorald,Juniorald,Wafa258,wafa258,1,4,3,4,4,Conforme,Conforme,Conforme,Conforme,7,Le jeu est fonctionnel. Le design est bien choisi. ,,6,17
16/12/2025 17:01:26,sakeenasn,sakeenasn,nali-333,nali-333,6,5,4,5,4,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,8,"Jolie design
Efficace
Son immersif

",améliorer le design du slider,7,"15,5"
16/12/2025 17:01:33,kadiriilham634,kadiriilham634-del,ouarkia,Ouarkia,1,3,3,3,3,Conforme,Conforme,Conforme,Conforme,7,on peut couper le son,le motif est discret,8,12
16/12/2025 17:02:08,Juniorald,Juniorald,Wafa258,wafa258,1,4,5,4,4,Conforme,Conforme,Dépasse les attentes,Dépasse les attentes,8,,,8,18
16/12/2025 17:02:11,fatoucmr,fatoucmr,THAUT627,THAUT627,2,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,,,7,14
16/12/2025 17:02:17,THAUT627,THAUT627,kadiriilham634-del,kadiriilham634-del,5,3,2,,,,,,,,,,,
16/12/2025 17:02:42,kadiriilham634,kadiriilham634-del,ouarkia,Ouarkia,2,3,3,3,3,Conforme,Conforme,Conforme,Conforme,6,iterface jolie et clair,ajouter un timer,7,13
16/12/2025 17:02:50,lcruz-almeida,lcruz-almeida,sakeenasn,sakeenasn,1,4,1,3,2,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,,5,,Améliorer le livre ,,10
16/12/2025 17:02:56,lcruz-almeida,lcruz-almeida,lcruz-almeida,lcruz-almeida,1,4,2,3,3,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,,5,,,,10
16/12/2025 17:03:04,sakeenasn ,sakeenasn, Haithem939 ,Haithem939,3,3,4,4,4,Conforme,Conforme,Partiellement Conforme,,7,,,7,"12,5"
16/12/2025 17:03:28,THAUT627,THAUT627,kadiriilham634-del,kadiriilham634-del,6,4,3,,,,,,,,,,,
16/12/2025 17:03:28,Juniorald,Juniorald,Wafa258,wafa258,2,4,5,5,4,Conforme,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,9,,Ajouter du son et de la musique ,9,18
16/12/2025 17:03:35,fatoucmr,fatoucmr,THAUT627,THAUT627,3,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,,,7,14
16/12/2025 17:03:38,juniorald,Juniorald,kada798,kada798,1,4,2,,,,,,,,,,,14
16/12/2025 17:03:48,sakeenasn,sakeenasn,Fatoucmr,fatoucmr,4,4,3,4,4,Conforme,Conforme,Conforme,,8,Ajout du son pour chaque planètes ce qui améliore l'immersion.,"Quand on dézoom complètement faire en sorte que l'on voit toujours le ciel étoilée, et non un encadré noir. ",8,14
16/12/2025 17:03:58,kadiriilham634,kadiriilham634-del,lizachikhaoui,lizachikhaoui,1,4,3,3,,,,,,,,,,13
16/12/2025 17:04:05,lcruz-almeida,lcruz-almeida,lcruz-almeida,lcruz-almeida,1,4,4,4,3,Conforme,Conforme,Conforme,,7,,,7,11
16/12/2025 17:04:05,kadiriilham634,kadiriilham634-del,ouarkia,Ouarkia,3,3,3,3,3,Conforme,Conforme,Conforme,Conforme,8,ajt de niveau,ajt son qd on trouve,7,14
16/12/2025 17:04:13,lcruz-almeida,lcruz-almeida,sakeenasn,sakeenasn,1,4,5,4,3,Conforme,Conforme,Conforme,,5,,,7,11
16/12/2025 17:04:15,juniorald,Juniorald,kada798,kada798,2,4,4,3,4,Conforme,,,,,,,,14
16/12/2025 17:04:49,sakeenasn ,sakeenasn, Haithem939 ,Haithem939,4,3,4,4,4,Conforme,Conforme,,,6,,,6,"12,5"
16/12/2025 17:04:51,Juniorald,Juniorald,Wafa258,wafa258,3,4,5,5,5,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,9,Les chances d’apparition des pièges ont été calibrées pour éviter des situations impossibles ou frustrantes. Je trouve cette amélioration intéressante pour motiver le joueur. ,,9,19
16/12/2025 17:05:00,juniorald,Juniorald,kada798,kada798,3,3,4,,,,,,,,,,,
16/12/2025 17:05:04,lcruz-almeida,lcruz-almeida,lcruz-almeida,lcruz-almeida,2,4,5,5,5,Conforme,Conforme,Conforme,,8,,,8,12
16/12/2025 17:05:05,lcruz-almeida,lcruz-almeida,sakeenasn,sakeenasn,2,4,5,4,4,Conforme,Conforme,Conforme,,6,,,6,12
16/12/2025 17:05:08,sakeenasn,sakeenasn,fatoucmr,fatoucmr,5,4,3,4,4,Conforme,Conforme,Conforme,,8,"Immersion, dynamisme et interactivité",Ajouter plus d'options pour l'utilisateur,7,14
16/12/2025 17:05:10,kadiriilham634,kadiriilham634-del,lizachikhaoui,lizachikhaoui,2,4,3,3,3,,,,,,,,,13
16/12/2025 17:05:14,kadiriilham634,kadiriilham634-del,ouarkia,Ouarkia,4,3,3,3,3,Conforme,Conforme,Conforme,Conforme,8,ajt de record,ajt son à la fin,8,14
16/12/2025 17:05:27,juniorald,Juniorald,kada798,kada798,4,4,4,,,,,,,,,,,
16/12/2025 17:05:39,kadiriilham634,kadiriilham634-del,nali-333,nali-333,1,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Conforme,6,,,,12
16/12/2025 17:05:46,calrifaii,calrifaii,Juniorald,Juniorald,4,5,5,4,4,Conforme,Conforme,Conforme,Conforme,10,,,9,
16/12/2025 17:05:48,kadiriilham634,kadiriilham634-del,lizachikhaoui,lizachikhaoui,3,4,3,3,,,,,,,,,,13
16/12/2025 17:05:59,lcruz-almeida,lcruz-almeida,sakeenasn,sakeenasn,3,4,2,5,4,Conforme,Conforme,Partiellement Conforme,,7,,,7,13
16/12/2025 17:06:01,lcruz-almeida,lcruz-almeida,lcruz-almeida,lcruz-almeida,3,4,3,5,5,Conforme,Conforme,Conforme,,8,,,8,13
16/12/2025 17:06:02,Juniorald,Juniorald,Wafa258,wafa258,4,4,5,5,5,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,9,Code plus simple,,9,19
16/12/2025 17:06:05,fatoucmr,fatoucmr,THAUT627,THAUT627,4,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,,,6,14
16/12/2025 17:06:18,juniorald,Juniorald,kada798,kada798,5,4,4,,,,,,,,,,,
16/12/2025 17:06:19,kadiriilham634,kadiriilham634-del,lizachikhaoui,lizachikhaoui,4,4,3,,,,,,,,,,,"13,5"
16/12/2025 17:06:35,calrifaii,calrifaii,Juniorald,Juniorald,5,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,,,9,
16/12/2025 17:06:43,Juniorald,Juniorald,kadiriilham634-del,kadiriilham634-del,1,4,3,,,,,,,,,,,
16/12/2025 17:06:48,lcruz-almeida,lcruz-almeida,sakeenasn,sakeenasn,4,4,4,4,4,Conforme,Conforme,Partiellement Conforme,,8,,,8,14
16/12/2025 17:06:49,sakeenasn ,sakeenasn, Haithem939 ,Haithem939,5,3,4,4,4,Conforme,Conforme,Partiellement Conforme,,6,,,5,"12,5"
16/12/2025 17:06:49,lcruz-almeida,lcruz-almeida,lcruz-almeida,lcruz-almeida,4,4,3,5,5,Conforme,Conforme,Conforme,,8,,,8,14
16/12/2025 17:06:54,sakeenasn,sakeenasn,Fatoucmr,fatoucmr,6,4,4,4,4,Conforme,Conforme,Conforme,,8,"Dynamisme, interactivité et visuel, immersion, liberté de contrôle de l'utilisateur",Ajouter d'autres animations ou sons,8,15
16/12/2025 17:06:54,juniorald,Juniorald,kada798,kada798,6,4,4,,,,,,,,,,7,15
16/12/2025 17:06:57,Juniorald,Juniorald,Wafa258,wafa258,5,5,5,5,5,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,10,Affichage des Cœurs : L’interface affiche désormais visuellement les vies restantes (ex: ❤️❤️❤️).,,10,20
16/12/2025 17:07:13,kadiriilham634,kadiriilham634-del,lizacikhaoui,lizachikhaoui,5,4,3,3,,,,,,,,,,14
16/12/2025 17:07:20,lcruz-almeida,lcruz-almeida,lcruz-almeida,lcruz-almeida,5,4,4,5,5,Conforme,Conforme,Conforme,,9,,,9,15
16/12/2025 17:07:33,lcruz-almeida,lcruz-almeida,sakeenasn,sakeenasn,5,4,5,5,5,Conforme,Conforme,Conforme,,8,,,9,15
16/12/2025 17:08:05,lcruz-almeida,lcruz-almeida,lcruz-almeida,lcruz-almeida,6,4,5,5,5,Conforme,Conforme,Conforme,,9,,,10,16
16/12/2025 17:08:09,kadiriilham634,kadiriilham634-del,lizachikhaoui,lizachikhaoui,6,4,3,4,,,,,,,,,,"14,5"
16/12/2025 17:08:28,lcruz-almeida,lcruz-almeida,sakeenasn,sakeenasn,6,4,5,5,5,Conforme,Conforme,Conforme,,8,,,9,17
16/12/2025 17:08:36,callmejeeh,callmejeeh,kada798,kada798,1,3,4,,,,,,,,,,,12
16/12/2025 17:08:49,Juniorald,Juniorald,Wafa258,wafa258,6,5,5,5,5,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,Dépasse les attentes,10,Le jeu est bien pensé et développé. Le design est attractif. ,Arrêter le son. ,10,20
16/12/2025 17:09:12,sakeenasn ,sakeenasn, Haithem939 ,Haithem939,6,4,4,4,4,Conforme,Conforme,Partiellement Conforme,Non Conforme,7,,,7,"13,5"
16/12/2025 17:09:18,callmejeeh,callmejeeh,kada798,kada798,2,3,3,,,,,,,,,,,11
16/12/2025 17:09:37,kadiriilham634,kadiriilham634-del,nali-333,nali-333,2,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,,,8,13
16/12/2025 17:09:37,THAUT627,THAUT627,lizachikhaoui,lizachikhaoui,1,3,3,3,,,,,,,,,,14
16/12/2025 17:09:41,fatoucmr,fatoucmr,THAUT527,THAUT627,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,,,7,14
16/12/2025 17:09:47,kadiriilham634-del,kadiriilham634-del,fatoucmr,fatoucmr,1,4,2,3,3,Conforme,Conforme,,,5,Dynamisme et visuel,"Ajouter d'autres options, un jeu ou un start qui amène sur le game over",,13
16/12/2025 17:10:05,fatoucmr,fatoucmr,calrifaii,calrifaii,1,4,4,,,,,,,,,,,
16/12/2025 17:10:14,callmejeeh,callmejeeh,kada798,kada798,3,3,4,2,2,,Conforme,Conforme,,,,,,12
16/12/2025 17:10:14,kadiriilham634,kadiriilham634-del,nali-333,nali-333,3,4,4,4,4,Conforme,Conforme,Conforme,Conforme,7,,,7,13
16/12/2025 17:10:17,THAUT627,THAUT627,lizachikhaoui,lizachikhaoui,2,3,3,3,,,,,,,,,,
16/12/2025 17:10:32,callmejeeh,callmejeeh,Wafa258,wafa258,1,3,3,2,3,Conforme,Partiellement Conforme,Conforme,Partiellement Conforme,6,,,5,15
16/12/2025 17:10:36,Juniorald,Juniorald,kadiriilham634-del,kadiriilham634-del,2,3,2,,,,,,,,,,,
16/12/2025 17:10:46,callmejeeh,callmejeeh,kada798,kada798,4,3,4,,,,,,,,,,,13
16/12/2025 17:10:55,THAUT627,THAUT627,lizachikhaoui,lizachikhaoui,3,4,3,,,,,,,,,,,
16/12/2025 17:10:59,kadiriilham634,kadiriilham634-del,ouarkia,Ouarkia,5,4,4,4,4,Conforme,Conforme,Conforme,Conforme,8,ajt mode sombre,rajt un son,8,14
16/12/2025 17:11:03,kadiriilham634,kadiriilham634-del,nali-333,nali-333,4,4,5,4,4,Conforme,Conforme,Conforme,Conforme,7,,,7,"13,5"
16/12/2025 17:11:12,sakeenasn ,sakeenasn, Haithem939 ,Haithem939,6,4,4,4,4,Conforme,Conforme,Partiellement Conforme,,7,,,7,"13,5"
16/12/2025 17:11:16,fatoucmr,fatoucmr,calrifaii,calrifaii,2,4,4,,,,,,,,,,,
16/12/2025 17:11:27,callmejeeh,callmejeeh,kada798,kada798,5,3,3,2,3,,,,,,,,,13
16/12/2025 17:11:34,THAUT627,THAUT627,lizachikhaoui,lizachikhaoui,4,4,4,,,,,,,,,,,
16/12/2025 17:11:42,callmejeeh,callmejeeh,Wafa258,wafa258,1,3,3,3,3,Conforme,Non Conforme,Partiellement Conforme,Non Conforme,5,,Améliorer le design de l'interface. ,5,15
16/12/2025 17:11:42,fatoucmr,fatoucmr,calrifaii,calrifaii,3,4,4,,,,,,,,,,,
16/12/2025 17:11:45,kadiriilham634,kadiriilham634-del,nali-333,nali-333,5,5,5,4,4,Dépasse les attentes,Conforme,Conforme,Conforme,7,,,7,14
16/12/2025 17:11:48,kadriilham634,kadiriilham634-del,sakeenasn,sakeenasn,1,4,1,4,2,Conforme,Conforme,Partiellement Conforme,,5,,,5,11
16/12/2025 17:11:49,kadiriilham634,kadiriilham634-del,lcruz-almeida ,lcruz-almeida,1,4,1,4,2,Conforme,Partiellement Conforme,Partiellement Conforme,,5,,,5,10
16/12/2025 17:12:08,kadiriilham634-del,kadiriilham634-del,fatoucmr,fatoucmr,2,4,4,4,4,Conforme,Conforme,Partiellement Conforme,,8,Interactivité et dynamisme,Ajouter du son ,,13
16/12/2025 17:12:09,THAUT627,THAUT627,lizachikhaoui,lizachikhaoui,5,4,4,,,,,,,,,,,
16/12/2025 17:12:12,fatoucmr,fatoucmr,THAUT627,THAUT627,6,4,4,4,3,Conforme,Conforme,Conforme,Conforme,7,,,7,15
16/12/2025 17:12:24,kadiriilham634,kadiriilham634-del,ouarkia,Ouarkia,6,5,5,5,5,Conforme,Conforme,Conforme,Conforme,9,son intégrè,améliorer le visuelle,9,17
16/12/2025 17:12:29,callmejeeh,callmejeeh,kada798,kada798,6,3,3,2,4,Conforme,Conforme,Conforme,Conforme,4,,,,13
16/12/2025 17:12:41,THAUT627,THAUT627,lizachikhaoui,lizachikhaoui,6,4,4,,,,,,,,,,,
16/12/2025 17:12:50,callmejeeh,callmejeeh,Wafa258,wafa258,2,3,5,3,4,Conforme,Conforme,Conforme,Conforme,6,,,5,15
16/12/2025 17:12:51,kadiriilham634,kadiriilham634-del,nali-333,nali-333,6,5,5,4,4,Dépasse les attentes,Dépasse les attentes,Conforme,Conforme,7,,,7,15
16/12/2025 17:13:01,kadiriilham634,kadiriilham634-del,lcruz-almeida,lcruz-almeida,1,4,5,2,5,Conforme,Conforme,Conforme,,6,,,5,11
16/12/2025 17:13:02,kadriilham634,kadiriilham634-del,sakeenasn,sakeenasn,1,4,5,2,5,Conforme,Conforme,Conforme,,7,,,6,12
16/12/2025 17:13:24,kadiriilham634-del,kadiriilham634-del,fatoucmr,fatoucmr,2,4,3,4,4,Conforme,Conforme,Partiellement Conforme,,8,Interactivité et dynamisme ,"Ajouter du son lorsque c'est plus, c'est moins etc ..",8,14
16/12/2025 17:14:05,callmejeeh,callmejeeh,Wafa258,wafa258,3,3,4,3,3,Conforme,Partiellement Conforme,Partiellement Conforme,Partiellement Conforme,6,Le jeu est fonctionnel. ,Enlever le temps d'attente. ,5,15
16/12/2025 17:14:08,kadiriilham634,kadiriilham634-del,lcruz-almeida ,lcruz-almeida,2,4,4,1,5,Conforme,Partiellement Conforme,Partiellement Conforme,,5,,,7,12
16/12/2025 17:14:14,kadriilham634,kadiriilham634-del,sakeenasn,sakeenasn,2,4,5,3,5,Conforme,Partiellement Conforme,Conforme,,8,,,7,13
16/12/2025 17:14:16,fatoucmr,fatoucmr,calrifaii,calrifaii,4,4,4,,,,,,,,,,,
16/12/2025 17:14:25,kadiriilham634-del,kadiriilham634-del,fatoucmr,fatoucmr,4,4,4,4,4,Conforme,Conforme,Partiellement Conforme,,8,"Interactivité, dynamisme et esthétique",Ajouter du son,8,14
